inspection_id,component_id,component_type,zone,inspection_time,recorded_at,result,severity_level,defect_count,temperature_c,inspector,data_version
I-001,C-001,预制外墙,A区,2026-03-02 09:10,2026-03-02 09:35,通过,1,0,18.5,检查员甲,v1.0
I-002,C-001,预制外墙,A区,2026-03-09 10:30,2026-03-09 11:05,复核,2,2,20.0,检查员乙,v1.0
I-003,C-002,预制外墙,A区,2026-03-02 10:20,2026-03-02 10:42,通过,1,0,18.8,检查员甲,v1.0
I-004,C-003,叠合板,A区,2026-03-03 08:50,2026-03-03 09:15,通过,1,0,19.1,检查员丙,v1.0
I-005,C-004,叠合板,B区,2026-03-03 14:10,2026-03-03 14:50,整改,3,4,21.3,检查员乙,v1.0
I-006,C-005,预制楼梯,B区,2026-03-04 09:00,2026-03-04 09:26,通过,1,0,20.6,检查员甲,v1.0
I-007,C-006,预制外墙,B区,2026-03-04 10:40,2026-03-04 11:00,通过,1,0,21.0,检查员丙,v1.0
I-008,C-003,叠合板,A区,2026-03-10 09:30,2026-03-10 10:02,复核,2,1,22.2,检查员甲,v1.0
I-009,C-007,预制楼梯,C区,2026-03-05 08:35,2026-03-05 09:05,通过,1,0,19.7,检查员乙,v1.0
I-010,C-008,预制楼梯,C区,2026-03-05 15:20,2026-03-05 16:10,整改,3,3,23.1,,v1.0
I-011,C-009,预制外墙,C区,2026-03-06 09:15,2026-03-06 09:40,通过,1,0,20.4,检查员甲,v1.0
I-012,C-010,叠合板,B区,2026-03-06 10:25,2026-03-06 10:53,通过,1,0,20.9,检查员丙,v1.0
I-013,C-005,预制楼梯,B区,2026-03-11 09:45,2026-03-11 10:25,复核,2,1,22.8,检查员乙,v1.0
I-014,C-006,预制外墙,B区,2026-03-11 14:00,2026-03-11 14:38,复核,2,2,,检查员丙,v1.0
I-015,C-011,叠合板,C区,2026-03-07 08:55,2026-03-07 09:18,通过,1,0,18.9,检查员甲,v1.0
I-016,C-012,预制楼梯,A区,2026-03-07 10:10,2026-03-07 10:36,通过,1,0,19.4,检查员乙,v1.0
I-017,C-013,叠合板,C区,2026-03-07 13:35,2026-03-07 14:12,整改,3,5,21.7,检查员丙,v1.0
I-018,C-014,预制楼梯,A区,2026-03-08 09:20,2026-03-08 09:47,通过,1,0,20.1,检查员甲,v1.0
