inspection_id,component_id,task_id,floor_zone,component_type,inspection_round,install_time,inspection_time,record_created_time,vertical_deviation_value,deviation_unit,grout_strength_mpa,inspector_team,result_recorded,rework_flag,revision_flag,source_system
QI-0317,CMP-0266,TSK-027,F06-C,slab,1,2025-05-30 11:00,2025-05-30 21:29,2025-05-31 07:55,9.61,mm,52.7,TEAM_C,fail,true,false,quality_system
QI-0288,CMP-0243,TSK-025,F03-A,column,1,2025-04-06 11:30,2025-04-06 09:30,2025-04-07 04:34,3.68,mm,46.1,TEAM_C,pass,false,false,site_tablet
QI-0226,CMP-0189,TSK-019,F09-A,slab,2,2025-08-19 09:45,2025-08-22 16:44,2025-08-22 18:40,3.41,mm,50.7,TEAM_C,pass,true,false,quality_app
QI-0145,CMP-0121,TSK-013,F01-A,wall_panel,1,2025-03-05 15:15,2025-03-06 04:33,2025-03-07 19:51,1.93,mm,55.2,TEAM_B,pass,false,false,quality_app
QI-0151,CMP-0125,TSK-013,F05-A,slab,2,2025-06-05 12:15,2025-06-10 16:32,2025-06-10 19:34,3.76,mm,45.7,TEAM_A,pass,false,false,site_tablet
QI-0171,CMP-0142,TSK-015,F02-C,stair,1,2025-08-07 08:45,2025-08-07 18:36,2025-08-08 06:44,1.88,mm,53.4,TEAM_C,pass,0,false,quality_system
QI-0031,CMP-0027,TSK-003,F07-C,slab,2,2025-13-40 25:61,2025-03-14 15:03,2025-03-14 23:01,3.29,mm,58.5,TEAM_A,pass,true,false,site_tablet
QI-0239,CMP-0202,TSK-021,F02-C,wall_panel,1,2025-08-15 07:00,2025-08-15 14:42,2025-08-16 03:08,1.77,mm,53.1,TEAM_A,--,false,false,quality_system
QI-0109,CMP-0092,TSK-010,F02-A,column,1,2025-04-19 14:00,20-04-2025 05:22,2025-04-21 13:24,0.65,mm,38.0,TEAM_A,fail,true,false,quality_app
QI-0130,CMP-0109,TSK-011,F09-B,beam,1,2025-08-23 13:15,24-08-2025 09:08,2025-08-25 17:51,1.77,mm,48.4,TEAM_A,pass,false,false,site_tablet
QI-0167,CMP-0139,TSK-014,F09-B,beam,1,2025-08-14 12:00,2025-08-15 07:56,2025-08-16 00:26,2.30,mm,50.9,TEAM_C,pass,0,false,site_tablet
QI-0246,CMP-0208,TSK-021,F08-C,column,1,2025-04-26 10:15,2025-04-26 12:10,2025-04-27 17:41,5.29,mm,38.2,TEAM_A,fail,1,false,quality_system
