stage,rule_id,applicable_count,pass_count,fail_count,pass_rate
before,R01,372,366,6,0.9838709677419355
before,R02,372,358,14,0.9623655913978495
before,R03,372,344,28,0.9247311827956989
before,R04,372,356,16,0.956989247311828
before,R05,372,349,23,0.9381720430107527
before,R06,372,367,5,0.9865591397849462
before,R07,372,355,17,0.9543010752688172
before,R08,372,362,10,0.9731182795698925
before,R09,372,354,18,0.9516129032258065
before,R10,61,55,6,0.9016393442622951
before,R11,339,325,14,0.9587020648967551
after,R01,360,354,6,0.9833333333333333
after,R02,360,358,2,0.9944444444444445
after,R03,360,356,4,0.9888888888888889
after,R04,360,344,16,0.9555555555555556
after,R05,360,337,23,0.9361111111111111
after,R06,360,355,5,0.9861111111111112
after,R07,360,343,17,0.9527777777777777
after,R08,360,350,10,0.9722222222222222
after,R09,360,342,18,0.95
after,R10,59,53,6,0.8983050847457628
after,R11,327,313,14,0.9571865443425076
