installation_id,installation_date,crew_id,zone_id,installation_time_min,selection_order
WI-001,2026-03-02,C01,Z1,47.0,1
WI-002,2026-03-03,C02,Z2,46.320634,2
WI-003,2026-03-04,C03,Z3,47.679366,3
WI-004,2026-03-05,C04,Z4,45.641268,4
WI-005,2026-03-06,C05,Z5,48.358732,5
WI-006,2026-03-07,C01,Z1,44.961901,6
WI-007,2026-03-08,C02,Z2,49.038099,7
WI-008,2026-03-09,C03,Z3,44.282535,8
WI-009,2026-03-10,C04,Z4,49.717465,9
WI-010,2026-03-11,C05,Z5,43.603169,10
WI-011,2026-03-12,C01,Z1,50.396831,11
WI-012,2026-03-13,C02,Z2,42.923803,12
WI-013,2026-03-14,C03,Z3,51.076197,13
WI-014,2026-03-15,C04,Z4,42.244436,14
WI-015,2026-03-16,C05,Z5,51.755564,15
WI-016,2026-03-17,C01,Z1,41.56507,16
WI-017,2026-03-18,C02,Z2,52.43493,17
WI-018,2026-03-19,C03,Z3,40.885704,18
WI-019,2026-03-20,C04,Z4,53.114296,19
WI-020,2026-03-21,C05,Z5,40.206338,20
WI-021,2026-03-22,C01,Z1,53.793662,21
WI-022,2026-03-23,C02,Z2,39.526972,22
WI-023,2026-03-24,C03,Z3,54.473028,23
WI-024,2026-03-25,C04,Z4,38.847605,24
WI-025,2026-03-26,C05,Z5,55.152395,25
