project_id,date,zone_id,construction_stage,electricity_kwh,diesel_l,equipment_hours,active_workers,temperature_c,rainfall_mm,electricity_factor_kgco2e_kwh,diesel_factor_kgco2e_l,carbon_kgco2e,data_quality_flag
PRJ-QM-001,2025-03-03,A,site_preparation,226.08,42.13,9.9,16,12.4,6.4,0.55,2.68,237.25,ok
PRJ-QM-001,2025-03-03,B,site_preparation,203.54,45.26,10.6,19,12.4,6.4,0.55,2.68,233.24,ok
PRJ-QM-001,2025-03-03,C,site_preparation,229.82,47.03,10.7,13,12.4,6.4,0.55,2.68,252.44,ok
PRJ-QM-001,2025-03-04,A,site_preparation,204.97,52.63,10.0,19,12.9,17.5,0.55,2.68,253.78,ok
PRJ-QM-001,2025-03-04,B,site_preparation,240.11,41.82,5.9,20,12.9,17.5,0.55,2.68,244.14,ok
PRJ-QM-001,2025-03-04,C,site_preparation,234.97,54.83,12.7,15,12.9,17.5,0.55,2.68,276.18,ok
PRJ-QM-001,2025-03-05,A,site_preparation,265.69,55.33,12.0,18,11.3,0.0,0.55,2.68,294.41,ok
PRJ-QM-001,2025-03-05,B,site_preparation,215.94,67.13,12.1,18,11.3,0.0,0.55,2.68,298.68,ok
PRJ-QM-001,2025-03-05,C,site_preparation,142.98,34.87,8.5,10,11.3,0.0,0.55,2.68,172.09,ok
PRJ-QM-001,2025-03-06,A,site_preparation,213.57,45.29,10.5,19,12.2,0.0,0.55,2.68,238.84,ok
PRJ-QM-001,2025-03-06,B,site_preparation,255.94,48.77,12.3,23,12.2,0.0,0.55,2.68,271.47,ok
PRJ-QM-001,2025-03-06,C,site_preparation,231.76,34.41,12.4,14,12.2,0.0,0.55,2.68,219.69,ok
PRJ-QM-001,2025-03-07,A,site_preparation,189.13,52.52,11.1,22,11.9,0.0,0.55,2.68,244.78,ok
PRJ-QM-001,2025-03-07,B,site_preparation,230.66,49.37,12.4,21,11.9,0.0,0.55,2.68,259.17,ok
PRJ-QM-001,2025-03-07,C,site_preparation,163.35,39.22,9.7,13,11.9,0.0,0.55,2.68,194.95,ok
PRJ-QM-001,2025-03-08,A,site_preparation,145.15,38.4,6.0,15,11.2,0.0,0.55,2.68,182.74,ok
PRJ-QM-001,2025-03-08,B,site_preparation,111.1,42.55,5.2,12,11.2,0.0,0.55,2.68,175.14,ok
PRJ-QM-001,2025-03-08,C,site_preparation,179.87,39.95,6.7,15,11.2,0.0,0.55,2.68,205.99,ok
PRJ-QM-001,2025-03-09,A,site_preparation,134.9,44.23,5.9,10,12.1,0.0,0.55,2.68,192.73,ok
PRJ-QM-001,2025-03-09,B,site_preparation,154.87,31.24,7.5,3,12.1,0.0,0.55,2.68,168.9,ok
PRJ-QM-001,2025-03-09,C,site_preparation,85.43,23.47,4.4,6,12.1,0.0,0.55,2.68,109.89,ok
PRJ-QM-001,2025-03-10,A,site_preparation,213.47,45.12,11.2,18,11.7,0.0,0.55,2.68,238.33,ok
PRJ-QM-001,2025-03-10,B,site_preparation,153.37,48.84,9.4,19,11.7,0.0,0.55,2.68,215.24,ok
